1700550929.505547,10.0.0.6:54864,0,1,10,14480
1700550929.507613,10.0.0.6:54862,,,10,14480
1700550929.507929,10.0.0.6:54860,,,10,14480
1700550929.555819,10.0.0.6:54864,0,1,10,14480
1700550929.558969,10.0.0.6:54862,,,10,14480
1700550929.577863,10.0.0.6:54860,,,10,14480
1700550929.662904,10.0.0.6:54864,0,1,20,43440
1700550929.670605,10.0.0.6:54862,,,20,43440
1700550929.671373,10.0.0.6:54860,,,20,43440
1700550929.748334,10.0.0.6:54864,0,1,40,85432
1700550929.756076,10.0.0.6:54862,,,40,85432
1700550929.756502,10.0.0.6:54860,,,40,85432
1700550929.819078,10.0.0.6:54864,0,1,56,146248
1700550929.825598,10.0.0.6:54862,,,54,134664
1700550929.826104,10.0.0.6:54860,,,54,134664
1700550929.866090,10.0.0.6:54864,0,1,87,234576
1700550929.871328,10.0.0.6:54862,,,103,212856
1700550929.872597,10.0.0.6:54860,,,103,212856
1700550929.952857,10.0.0.6:54864,0,1,140,385448
1700550929.967186,10.0.0.6:54862,,,112,305872
1700550929.977712,10.0.0.6:54860,,,114,305872
1700550930.055374,10.0.0.6:54864,0,1,278,592232
1700550930.059459,10.0.0.6:54862,,,210,609608
1700550930.060240,10.0.0.6:54860,,,212,612504
1700550930.168419,10.0.0.6:54864,0,1,400,1171432
1700550930.183774,10.0.0.6:54862,,,420,1217768
1700550930.183794,10.0.0.6:54860,,,424,1226456
1700550930.384911,10.0.0.6:54864,0,1,798,2324040
1700550930.404612,10.0.0.6:54862,,,840,2291432
1700550930.404643,10.0.0.6:54860,,,848,2302168
1700550931.689023,10.0.0.6:54864,0,1,6381,17397720
1700550931.701044,10.0.0.6:54862,,,6328,17357504
1700550931.701063,10.0.0.6:54860,,,6364,17340176
1700550931.869232,10.0.0.6:54864,0,3196,8452,8406
1700550931.869848,10.0.0.6:54862,229,727,229,8393
1700550931.869901,10.0.0.6:54860,0,4230,8457,8386
1700550931.916083,10.0.0.6:54864,0,3196,8452,8406
1700550931.922736,10.0.0.6:54862,458,1185,458,8393
